area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up  Area,18-Mar,Hosakerehalli,2 BHK,SoageHe,1304,2,3,128
Super built-up  Area,Ready To Move,Begur Road,3 BHK,Dhalsh ,1615,3,2,86
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Contsci,1400,2,2,96
Super built-up  Area,Ready To Move,CV Raman Nagar,2 BHK,Villeka,1070,2,2,75.5
Super built-up  Area,17-Nov,Hebbal,3 BHK,Emceske,3500,3,3,423
Super built-up  Area,22-Jun,Hoodi,2 BHK,GoAirej,1132,2,1,117.37
Super built-up  Area,Ready To Move,Rajarajeshwari Nagara,3 BHK,,2000,3,2,113
Plot  Area,Ready To Move,Hebbal,7 Bedroom,,2400,5,1,578
Super built-up  Area,Ready To Move,Sector 2 HSR Layout,1 BHK,DShtsow,794,1,2,93
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,Lancyey,1090,2,2,71.59
Super built-up  Area,Ready To Move,Gottigere,3 BHK,Pridei ,1500,3,2,98
Super built-up  Area,Ready To Move,1st Phase JP Nagar,3 BHK,Prhtsok,2059,3,2,253
Super built-up  Area,21-Jan,Kanakpura Road,1 BHK,PrarePa,525,1,1,58
Super built-up  Area,18-May,Bhoganhalli,2 BHK,Rosha I,1447,2,1,103.97
Super built-up  Area,20-Dec,Whitefield,2 BHK,VaarkMe,1269,2,1,103
Plot  Area,18-Apr,KR Layout,4 Bedroom,,4800,4,0,728
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,Shiew T,1070,2,2,65.45
Super built-up  Area,Ready To Move,Talaghattapura,2 BHK,,1150,2,0,56
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,,1208,2,2,98
Super built-up  Area,Ready To Move,Ramamurthy Nagar,2 BHK,Cimeshw,1185,2,1,73.5
Plot  Area,Ready To Move,Laggere,3 Bedroom,,1200,3,1,158
Super built-up  Area,Ready To Move,Anekal,2 BHK,,888,2,1,62
Super built-up  Area,18-Aug,Chandapura,2 BHK,SunceEs,1015,2,2,53.88
Built-up  Area,Ready To Move,Celebrity Paradise Layout,1 BHK,,532,1,1,50.49
Super built-up  Area,Ready To Move,St Thomas Town,3 BHK,,1060,3,1,90
Built-up  Area,Ready To Move,Electronic City,1 BHK,,700,1,1,63
Super built-up  Area,Ready To Move,Ckikkakammana Halli,2 BHK,Radhian,902,2,2,70
Plot  Area,Ready To Move,Banashankari 2nd Stage,6 Bedroom,,600,3,3,123
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,,1175,2,1,75
Super built-up  Area,19-Dec,Binny Pete,2 BHK,She 2rk,1365,2,1,150
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,Hincy R,984,2,1,79
Plot  Area,Ready To Move,Hebbal,4 Bedroom,,2700,2,2,128
Super built-up  Area,Ready To Move,Jalahalli East,3 BHK,,1475,3,2,124
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,NDionas,1300,2,2,107
Plot  Area,Ready To Move,5th Block Hbr Layout,5 Bedroom,,1200,6,1,248
Built-up  Area,Ready To Move,Babusapalaya,3 BHK,,1453,2,2,71.59
Super built-up  Area,Ready To Move,Munivenkatppa Layout,2 BHK,SNiew L,1550,2,3,188
Built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,DLhtsnd,1666,3,,123
Plot  Area,Ready To Move,Akshaya Nagar,4 Bedroom,,1410,4,2,188
Plot  Area,18-Mar,Yelahanka,4 Bedroom,Nileyap,4025,5,3,828
Super built-up  Area,Ready To Move,Murugeshpalya,3 BHK,Vestas ,1845,3,3,119
Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,3 BHK,Puownm ,1676,3,3,80
Super built-up  Area,20-Dec,Uttarahalli,2 BHK,PrdgeLa,1137,2,1,91
Super built-up  Area,Ready To Move,Electronic City,3 BHK,GMown E,1360,2,1,98.5
Super built-up  Area,Ready To Move,Vijaya Bank Layout,3 BHK,FoGemna,1374,2,2,98
Built-up  Area,Ready To Move,Judicial Layout,3 Bedroom,,1700,3,2,183
Plot  Area,Ready To Move,Whitefield,5 Bedroom,,3227,5,0,278
Super built-up  Area,Ready To Move,Ferrar Nagar,4 BHK,Cestama,2145,4,,153
Plot  Area,Ready To Move,Koramangala,4 Bedroom,,2400,6,3,628
Super built-up  Area,18-May,Kasavanhalli,3 BHK,,2170,3,2,179
Built-up  Area,Ready To Move,Bank Of Baroda Colony,2 BHK,,1080,2,1,83
Built-up  Area,Ready To Move,Electronic City Phase II,3 BHK,SNbay G,1790,3,3,128
Super built-up  Area,Ready To Move,Doddathoguru,1 BHK,,550,1,1,45
Super built-up  Area,Ready To Move,Poorna Pragna Layout,3 BHK,,1270,2,2,78.79
Built-up  Area,Ready To Move,Somasundara Palya,2 BHK,Ahhtser,1033,2,2,76
Built-up  Area,Ready To Move,Kamala Nagar,2 Bedroom,,1000,2,1,108
Super built-up  Area,19-Dec,Binny Pete,4 BHK,She 2rk,2940,6,2,308
Super built-up  Area,Ready To Move,Kumarapalli,2 BHK,BMmesHo,1240,2,2,80.6
Plot  Area,Ready To Move,Kasturi Nagar,5 Bedroom,,1650,5,1,478
Super built-up  Area,Ready To Move,Kambipura,2 BHK,Prrtht ,883,2,1,67
Built-up  Area,15-Jun,Outer Ring Road East,3 BHK,SRzonhu,1500,2,0,125
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,Asintas,1730,3,3,167
Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,,1915,3,3,108
Super built-up  Area,Ready To Move,Whitefield,3 BHK,BainePr,1545,3,2,107
Super built-up  Area,19-Mar,Marenahalli,3 BHK,,1865,4,2,168
Super built-up  Area,Ready To Move,Hebbal Kempapura,2 BHK,,1150,2,2,68
Super built-up  Area,18-Aug,HAL 3rd Stage,2 BHK,,1200,2,2,77
Built-up  Area,Ready To Move,Kengeri,2 BHK,,963,2,2,68
Plot  Area,Ready To Move,Marsur,3 Bedroom,AreraRe,1200,3,1,148
Super built-up  Area,Ready To Move,Basavangudi,4 BHK,,2600,4,3,288
Built-up  Area,Ready To Move,Kaikondrahalli,4 BHK,Srsica ,1700,4,,136
Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,Soiewre,1682,3,1,148
Built-up  Area,Ready To Move,Yelahanka,3 BHK,Rarthne,1371,2,2,93
Super built-up  Area,21-Mar,Hennur Road,2 BHK,,901,2,1,77.5
Plot  Area,Ready To Move,Vishwapriya Layout,7 Bedroom,,600,7,0,101
Super built-up  Area,Ready To Move,Ambalipura,3 BHK,SJarkte,1730,3,1,148
Plot  Area,Ready To Move,Konanakunte,4 Bedroom,,1200,4,0,153
Super built-up  Area,Ready To Move,EPIP Zone,3 BHK,SJlynro,1500,3,3,130
Super built-up  Area,Ready To Move,Sarjapur  Road,4 BHK,Maana E,3785,6,,308
Built-up  Area,Ready To Move,Nagawara Junction,4 BHK,,3500,4,2,273
Carpet  Area,Ready To Move,Lingarajapuram,2 BHK,Glnetch,1203,2,1,87.86
Super built-up  Area,Ready To Move,Horamavu Banaswadi,2 BHK,,1357,2,2,82
Super built-up  Area,Ready To Move,Vasantha Vallabha Nagar,3 BHK,Suensda,1600,3,2,104
Built-up  Area,Ready To Move,Yelahanka New Town,1 BHK,KHatsFl,350,1,1,41.5
Super built-up  Area,Ready To Move,Varthur,3 BHK,MKllei ,1665,3,1,81
Plot  Area,Ready To Move,Ramamurthy Nagar,3 Bedroom,,1400,3,3,228
Super built-up  Area,Ready To Move,Sarjapur  Road,1 BHK,,835,1,1,74.95
Plot  Area,Ready To Move,Chandra Layout,2 Bedroom,,815,3,2,188
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,NDionas,1444,2,1,108
Super built-up  Area,Ready To Move,Kanakapura,2 BHK,,1277,2,2,83
Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,Soiewre,1521,3,1,122.71
Super built-up  Area,Ready To Move,Maithri Layout,2 BHK,,1134,2,1,68
Super built-up  Area,Ready To Move,Vasanthapura,2 BHK,,995,2,1,62.82
Super built-up  Area,Ready To Move,Old Madras Road,3 BHK,Brica E,2760,5,2,185
Built-up  Area,Ready To Move,Marathahalli,2 BHK,PueraRi,1325,1,1,120
Built-up  Area,Ready To Move,Kothanur,6 Bedroom,,4000,6,,178
Built-up  Area,Ready To Move,Marathahalli,3 BHK,,1525,3,2,118
Super built-up  Area,18-Dec,Raja Rajeshwari Nagar 5th Stage,3 BHK,,1320,2,2,101
Super built-up  Area,Ready To Move,Electronics City Phase 1,1 BHK,SrnesSr,650,1,1,51
Built-up  Area,Ready To Move,Old Airport Road,3 BHK,,1858,2,1,195
Super built-up  Area,21-Aug,Electronic City,2 BHK,,1150,2,1,66
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,MJtroty,769,2,1,68
Super built-up  Area,Ready To Move,Electronic City,3 BHK,Prarkun,1571,3,2,133
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,Maity W,1445,3,1,114.56
Super built-up  Area,Ready To Move,Hosur Road,3 BHK,Saageat,1590,2,2,163
Super built-up  Area,Ready To Move,Bommasandra,2 BHK,Niway G,902,2,2,77
Plot  Area,18-Mar,Sarjapur,3 Bedroom,,2238,3,1,168
Built-up  Area,18-Dec,Electronic City,2 BHK,,1090,2,1,59.49
Built-up  Area,Ready To Move,Yelahanka,3 BHK,NCowsar,1712,3,3,110
Built-up  Area,Ready To Move,Haralur Road,2 BHK,,1088,2,1,96
Super built-up  Area,Ready To Move,Somasundara Palya,3 BHK,,1575,3,3,91.1
Plot  Area,Ready To Move,Nanjappa Garden,6 Bedroom,,2150,6,3,233
Super built-up  Area,Ready To Move,Kundalahalli,3 BHK,Roima A,1920,3,2,178
Plot  Area,Ready To Move,Margondanahalli,2 Bedroom,,1000,2,0,85
Super built-up  Area,18-Oct,Chennammana Kere,2 BHK,,1100,2,2,84.1
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Daives ,1089,2,2,73
Built-up  Area,Ready To Move,Horamavu Agara,2 BHK,Maows M,1106,2,1,71.09
Super built-up  Area,18-Dec,Kengeri,2 BHK,,927,2,2,65
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,PuandHi,1339,2,2,86
Built-up  Area,21-Dec,Thanisandra,1 BHK,Bhe 2ko,923,1,1,73.69
Plot  Area,18-Aug,Sarjapur  Road,3 Bedroom,,2900,3,2,313
Super built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,RothaVa,1175,2,2,103
Built-up  Area,Ready To Move,Thubarahalli,2 BHK,Soowsa ,975,2,1,83
Super built-up  Area,Ready To Move,Hebbal,3 BHK,Kacesh ,2400,4,1,208
Super built-up  Area,Ready To Move,Subramanyapura,3 BHK,Prldsri,1330,3,2,100
Super built-up  Area,20-Dec,Thanisandra,2 BHK,Bhe 2ko,1183,2,1,87.74
Super built-up  Area,Ready To Move,Harlur,3 BHK,,1758,3,2,161
Plot  Area,Ready To Move,Nagarbhavi,3 Bedroom,,1200,3,2,293
Super built-up  Area,19-Dec,Hebbal,3 BHK,Magiaya,1255,2,1,105.68
Plot  Area,Ready To Move,Nagadevanahalli,3 Bedroom,,600,4,2,138
Built-up  Area,Ready To Move,Pai Layout,2 BHK,SantsAp,1100,2,2,78
Super built-up  Area,18-Dec,Ramamurthy Nagar,2 BHK,Vaharvi,1170,2,2,74.8
Built-up  Area,Ready To Move,Vayunandana Layout,5 Bedroom,,2400,5,2,148
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1530,3,3,79.77
Built-up  Area,17-Dec,Hebbal,2 BHK,Mahosya,1420,2,2,135
Plot  Area,Ready To Move,Geetanjali Layout,4 Bedroom,,1200,4,2,328
Plot  Area,Ready To Move,7th Phase JP Nagar,6 Bedroom,,1045,6,3,188
Super built-up  Area,19-Jan,Kanakpura Road,3 BHK,PrityFa,1591,3,1,143
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Eladero,1680,3,2,148
Plot  Area,Ready To Move,Kenchenhalli,2 Bedroom,,675,3,1,80
Super built-up  Area,19-Dec,Hoodi,2 BHK,Caycend,1055,2,1,85.63
Super built-up  Area,Ready To Move,Iblur Village,3 BHK,Sonet G,1918,3,2,157
Super built-up  Area,18-Jan,Sarjapur  Road,2 BHK,Kelia R,1280,2,1,104
Super built-up  Area,Ready To Move,Nagarbhavi,3 BHK,DSdhiSa,1560,3,3,94
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Usquaya,1145,2,2,77.5
Super built-up  Area,Ready To Move,Talaghattapura,3 BHK,Sodgere,2106,3,2,154
Super built-up  Area,Ready To Move,"EPIP AREA, WHITEFIELD",3 BHK,,1801,3,2,167
Plot  Area,Ready To Move,Seegehalli,5 Bedroom,,1200,5,3,148
Super built-up  Area,Ready To Move,Rajaji Nagar,2 BHK,PhestOn,1718,3,2,316
Super built-up  Area,20-Jun,Whitefield,3 BHK,Somns T,1306,3,2,82.65
Super built-up  Area,19-Jun,Hebbal,2 BHK,Raard B,1320,2,1,120
Built-up  Area,Ready To Move,1st Stage Domlur,3 BHK,,1350,2,2,93
Built-up  Area,Ready To Move,"RMV extension stage 2, rmv extension",4 BHK,,2990,4,,352
Built-up  Area,Ready To Move,Kalyan nagar,4 BHK,AHavenc,3800,5,3,328
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,DSnjh S,1344,2,1,70
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,,1893,3,2,128
Super built-up  Area,Ready To Move,Chandapura,3 BHK,,1107,2,1,71
Plot  Area,Ready To Move,R.T. Nagar,9 Bedroom,,1200,10,,208
Super built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,RothaVa,1190,2,1,103
Built-up  Area,Ready To Move,Whitefield,2 BHK,Pranthi,1000,2,1,63
Plot  Area,Ready To Move,Kalhalli,2 Bedroom,Keersto,2400,2,1,188
Super built-up  Area,Ready To Move,Kumaraswami Layout,2 BHK,Mania G,1000,2,1,76.5
Super built-up  Area,Ready To Move,Jalahalli,3 BHK,Tahtsla,2113,3,2,183
Built-up  Area,Ready To Move,KR Puram,2 BHK,,1100,2,1,74
Plot  Area,Ready To Move,Sector 2 HSR Layout,5 Bedroom,,1200,4,1,188
Super built-up  Area,Ready To Move,Harlur,4 BHK,Zonce E,1884,4,2,148
Super built-up  Area,Ready To Move,Electronic City,2 BHK,YCnce R,1110,2,1,68
Super built-up  Area,Ready To Move,Kudlu,2 BHK,Srrnasa,1027,2,2,71
Super built-up  Area,18-May,Tavarekere,3 BHK,,1250,3,2,68
Built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,,1470,3,0,90
Built-up  Area,18-May,Kamakshipalya,2 BHK,,1150,2,1,103
Plot  Area,Ready To Move,Hadosiddapura,3 Bedroom,JRichee,1200,3,2,193
Super built-up  Area,18-Aug,Kudlu Gate,1 BHK,Sanzaat,703,1,1,80
Super built-up  Area,Ready To Move,Vijaya Bank Colony,3 BHK,,1400,2,2,90
Super built-up  Area,Ready To Move,Bellandur,2 BHK,SRageri,1195,2,2,79
Super built-up  Area,Ready To Move,Narayanapura,2 BHK,Veodsar,1302,2,1,97.1
Super built-up  Area,19-Aug,Begur Road,3 BHK,Pruthg ,1583,3,1,102.4
Super built-up  Area,Ready To Move,Kumarapalli,3 BHK,BMmesHo,1488,2,3,88
Plot  Area,Ready To Move,Lakshmi Layout,4 Bedroom,,600,5,2,113
Super built-up  Area,18-Aug,Kammasandra,3 BHK,DSOakil,1385,2,2,62.63
Super built-up  Area,Ready To Move,Whitefield,4 BHK,,3262,4,2,288
Built-up  Area,18-Jan,Electronic City,3 BHK,Prarkun,1600,3,2,132
Super built-up  Area,Ready To Move,Old Airport Road,2 BHK,FlsicFl,1150,2,1,118
Plot  Area,Ready To Move,Lakkasandra,9 Bedroom,,4500,9,,194
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,,1263,2,1,106
Plot  Area,Ready To Move,KR Puram,7 Bedroom,,1200,8,2,138
Super built-up  Area,20-May,Kanakpura Road,2 BHK,Soena A,1299,2,2,113
Super built-up  Area,Ready To Move,Banashankari,2 BHK,,1330,2,1,106
Super built-up  Area,18-Apr,Devanahalli,3 BHK,Sabixtt,1282,2,2,80.43
Built-up  Area,Ready To Move,"JP Nagar 8th Phase, ",3 BHK,,1853,3,2,110
Super built-up  Area,Ready To Move,Kachanayakanahalli,2 BHK,ICoolon,861,2,1,63
Built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,SNity S,1600,3,2,123
Built-up  Area,Ready To Move,Nagaraja Garden,2 BHK,,1256,2,1,90.8
Super built-up  Area,Ready To Move,Tejaswini Nagar,3 BHK,Naods W,1390,2,2,108
Super built-up  Area,Ready To Move,Ashwath Nagar,3 BHK,Raeusiy,1550,2,,118
Plot  Area,Ready To Move,1 Annasandrapalya,11 Bedroom,,1200,6,3,178
Built-up  Area,Ready To Move,Hebbal,2 BHK,,919,2,1,77
Plot  Area,18-May,Margondanahalli,3 Bedroom,,1625,3,0,108
Super built-up  Area,Ready To Move,Gunjur,2 BHK,Puide P,1195,2,2,72
Super built-up  Area,Ready To Move,Domlur,6 BHK,,2400,4,1,628
Super built-up  Area,Ready To Move,Yelenahalli,2 BHK,Jaers S,1159,2,1,88
Super built-up  Area,20-Jun,Whitefield,3 BHK,Somns T,1386,3,1,85.46
Super built-up  Area,Ready To Move,Harlur,2 BHK,Prncyrn,1197,2,1,107
Super built-up  Area,18-Dec,Old Airport Road,4 BHK,Jaades ,2690,4,3,219
Super built-up  Area,Ready To Move,Jigani,4 Bedroom,Prllasw,3293 - 5314,,,254
Super built-up  Area,18-May,Bommasandra,3 BHK,SSestth,1295,2,1,78.28
Built-up  Area,18-Jul,Huskur,3 BHK,,1310,2,1,65.83
Super built-up  Area,21-Dec,Whitefield,2 BHK,Preaunt,1132,2,1,107.28
Built-up  Area,Ready To Move,6th block Koramangala,3 BHK,Sinde G,2350,3,2,428
Plot  Area,Ready To Move,4th Block Koramangala,4 Bedroom,,2400,4,,528
Super built-up  Area,19-Dec,Hebbal,3 BHK,Raard B,1645,3,2,163
Super built-up  Area,18-Nov,Whitefield,2 BHK,,1200,2,1,73.84
Plot  Area,Ready To Move,Whitefield,4 Bedroom,,3000,4,0,358
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,Prionad,1937,3,2,168
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,Vayali ,1015,2,2,61.5
Super built-up  Area,Ready To Move,Nagadevanahalli,2 BHK,,1080,2,2,67
Super built-up  Area,Ready To Move,Kathriguppe,3 BHK,Prone M,1350,2,2,108.99
Super built-up  Area,18-Aug,Kengeri Satellite Town,3 BHK,DSestSt,1149,2,2,57
Super built-up  Area,Ready To Move,Kothanur,2 BHK,,1185,2,2,87
Super built-up  Area,Ready To Move,Domlur,3 BHK,,1720,3,1,163
Super built-up  Area,Ready To Move,Hebbal,3 BHK,,2080,3,3,203
Plot  Area,Ready To Move,Tindlu,3 Bedroom,Hentye ,1500,3,1,115
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,PuziaVe,1566,3,2,125
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,PhestOn,2386,3,,362
Plot  Area,Ready To Move,KSRTC Layout,4 Bedroom,,1500,4,0,138
Super built-up  Area,Ready To Move,KR Puram,2 BHK,LVniaar,1290,2,1,77.02
Built-up  Area,20-Dec,"JP nagar 9th Phase, ",3 BHK,,1531,3,2,100
Super built-up  Area,Ready To Move,Keshava Nagar,3 BHK,ETens G,1839,3,3,193
Plot  Area,Ready To Move,Dollars Layout,4 Bedroom,,4200,4,1,788
Super built-up  Area,18-May,Electronic City Phase II,3 BHK,Sryalan,1400,2,2,68.43
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa ,550,1,1,43
Super built-up  Area,Ready To Move,Whitefield,2 BHK,SSthamh,1140,2,2,67
Super built-up  Area,21-Jun,Tumkur Road,3 BHK,Coowsri,1210 - 1477,3,0,85.76
